日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-02-07,102900011032237,青线椒(份),辣椒类,1.0,4.9,销售,否,2.78,9.43
2022-02-07,102900011032237,青线椒(份),辣椒类,1.0,4.9,销售,否,2.78,9.43
2022-02-07,102900011032237,青线椒(份),辣椒类,1.0,4.9,销售,否,2.78,9.43
2022-02-07,102900011032237,青线椒(份),辣椒类,1.0,4.9,销售,否,2.78,9.43
2022-02-08,102900011032237,青线椒(份),辣椒类,1.0,4.9,销售,否,2.78,9.43
2022-02-08,102900011032237,青线椒(份),辣椒类,1.0,4.9,销售,否,2.78,9.43
2022-02-08,102900011032237,青线椒(份),辣椒类,1.0,4.9,销售,否,2.78,9.43
2022-02-08,102900011032237,青线椒(份),辣椒类,1.0,2.9,销售,是,2.78,9.43
2022-02-08,102900011032237,青线椒(份),辣椒类,1.0,2.9,销售,是,2.78,9.43
2022-02-09,102900011032237,青线椒(份),辣椒类,1.0,2.9,销售,是,2.78,9.43
2022-03-04,102900011032237,青线椒(份),辣椒类,1.0,6.5,销售,否,3.35,9.43
2022-03-04,102900011032237,青线椒(份),辣椒类,1.0,6.5,销售,否,3.35,9.43
2022-03-04,102900011032237,青线椒(份),辣椒类,1.0,6.5,销售,否,3.35,9.43
2022-03-04,102900011032237,青线椒(份),辣椒类,1.0,6.5,销售,否,3.35,9.43
2022-03-05,102900011032237,青线椒(份),辣椒类,1.0,6.5,销售,否,3.53,9.43
2022-03-05,102900011032237,青线椒(份),辣椒类,1.0,6.5,销售,否,3.53,9.43
2022-03-06,102900011032237,青线椒(份),辣椒类,1.0,6.5,销售,否,3.53,9.43
2022-03-07,102900011032237,青线椒(份),辣椒类,1.0,3.3,销售,是,3.53,9.43
2022-03-08,102900011032237,青线椒(份),辣椒类,1.0,6.9,销售,否,3.64,9.43
2022-03-08,102900011032237,青线椒(份),辣椒类,1.0,6.9,销售,否,3.64,9.43
2022-03-09,102900011032237,青线椒(份),辣椒类,1.0,5.3,销售,是,3.65,9.43
2022-03-10,102900011032237,青线椒(份),辣椒类,1.0,5.3,销售,是,3.64,9.43
2022-03-11,102900011032237,青线椒(份),辣椒类,1.0,5.3,销售,是,3.94,9.43
2022-03-11,102900011032237,青线椒(份),辣椒类,1.0,5.3,销售,是,3.94,9.43
2022-03-11,102900011032237,青线椒(份),辣椒类,1.0,7.5,销售,否,3.94,9.43
2022-03-12,102900011032237,青线椒(份),辣椒类,1.0,7.5,销售,否,4.06,9.43
2022-03-12,102900011032237,青线椒(份),辣椒类,1.0,7.5,销售,否,4.06,9.43
2022-03-13,102900011032237,青线椒(份),辣椒类,1.0,6.9,销售,否,4.49,9.43
2022-03-13,102900011032237,青线椒(份),辣椒类,1.0,4.8,销售,是,4.49,9.43
2022-03-13,102900011032237,青线椒(份),辣椒类,1.0,6.9,销售,否,4.49,9.43
2022-03-14,102900011032237,青线椒(份),辣椒类,1.0,7.9,销售,否,4.14,9.43
2022-03-14,102900011032237,青线椒(份),辣椒类,1.0,7.9,销售,否,4.14,9.43
2022-03-14,102900011032237,青线椒(份),辣椒类,1.0,5.5,销售,是,4.14,9.43
2022-03-15,102900011032237,青线椒(份),辣椒类,1.0,7.9,销售,否,5.08,9.43
2022-03-15,102900011032237,青线椒(份),辣椒类,1.0,7.9,销售,否,5.08,9.43
2022-03-15,102900011032237,青线椒(份),辣椒类,1.0,5.5,销售,是,5.08,9.43
2022-03-15,102900011032237,青线椒(份),辣椒类,1.0,7.9,销售,否,5.08,9.43
2022-03-15,102900011032237,青线椒(份),辣椒类,1.0,5.5,销售,是,5.08,9.43
2022-03-16,102900011032237,青线椒(份),辣椒类,1.0,5.5,销售,是,5.84,9.43
2022-03-16,102900011032237,青线椒(份),辣椒类,1.0,4.7,销售,是,5.84,9.43
2022-03-17,102900011032237,青线椒(份),辣椒类,1.0,4.7,销售,是,4.8,9.43
2022-03-17,102900011032237,青线椒(份),辣椒类,1.0,4.7,销售,是,4.8,9.43
2022-03-17,102900011032237,青线椒(份),辣椒类,1.0,4.7,销售,是,4.8,9.43
2022-03-17,102900011032237,青线椒(份),辣椒类,1.0,4.7,销售,是,4.8,9.43
2022-03-17,102900011032237,青线椒(份),辣椒类,1.0,4.7,销售,是,4.8,9.43
2022-03-19,102900011032237,青线椒(份),辣椒类,1.0,7.9,销售,否,4.54,9.43
2022-03-19,102900011032237,青线椒(份),辣椒类,1.0,7.9,销售,否,4.54,9.43
2022-03-19,102900011032237,青线椒(份),辣椒类,1.0,7.9,销售,否,4.54,9.43
