日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900051004294,青线椒,辣椒类,0.172,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.057,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.372,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.329,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.258,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.2,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.129,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.143,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.551,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.165,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.243,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.165,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.122,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.05,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.165,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.379,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.422,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.086,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.057,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.329,14.0,销售,否,6.81,7.8
2020-07-01,102900051004294,青线椒,辣椒类,0.279,14.0,销售,否,6.81,7.8
