日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005116509,青茄子(1),茄类,0.829,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.402,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.402,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.427,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.251,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.729,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.427,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.477,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.729,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.729,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.553,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.578,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.628,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.251,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.678,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.628,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.754,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.603,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.905,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,1.432,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.98,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.704,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.804,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.829,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.427,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.477,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.678,4.0,销售,否,1.63,5.01
2020-07-01,102900005116509,青茄子(1),茄类,0.402,4.0,销售,否,1.63,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.276,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.377,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,1.382,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.729,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.729,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.98,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.477,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.553,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.452,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.352,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.528,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.327,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.302,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.327,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.377,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.628,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.477,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,1.106,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.352,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.377,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,1.03,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.377,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.804,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.804,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.729,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.402,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.628,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.327,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,1.156,4.0,销售,否,1.46,5.01
2020-07-02,102900005116509,青茄子(1),茄类,0.402,4.0,销售,否,1.46,5.01
2020-07-03,102900005116509,青茄子(1),茄类,0.729,4.0,销售,否,1.48,5.01
2020-07-03,102900005116509,青茄子(1),茄类,0.402,4.0,销售,否,1.48,5.01
2020-07-03,102900005116509,青茄子(1),茄类,0.704,4.0,销售,否,1.48,5.01
2020-07-03,102900005116509,青茄子(1),茄类,0.804,4.0,销售,否,1.48,5.01
2020-07-03,102900005116509,青茄子(1),茄类,0.754,4.0,销售,否,1.48,5.01
2020-07-03,102900005116509,青茄子(1),茄类,0.779,4.0,销售,否,1.48,5.01
