日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-03-11,102900011008515,面条菜,花叶类,0.341,10.0,销售,否,5.63,12.8
2021-03-11,102900011008515,面条菜,花叶类,0.291,10.0,销售,否,5.63,12.8
2021-03-12,102900011008515,面条菜,花叶类,0.281,10.0,销售,否,5.62,12.8
2021-03-13,102900011008515,面条菜,花叶类,0.17,10.0,销售,否,5.64,12.8
2021-03-13,102900011008515,面条菜,花叶类,0.14,10.0,销售,否,5.64,12.8
2021-03-13,102900011008515,面条菜,花叶类,0.14,10.0,销售,否,5.64,12.8
2021-03-13,102900011008515,面条菜,花叶类,0.16,10.0,销售,否,5.64,12.8
2021-03-14,102900011008515,面条菜,花叶类,0.331,10.0,销售,否,5.62,12.8
2021-03-15,102900011008515,面条菜,花叶类,0.2,10.0,销售,否,5.65,12.8
2021-03-17,102900011008515,面条菜,花叶类,0.281,10.0,销售,否,5.63,12.8
2021-03-17,102900011008515,面条菜,花叶类,0.301,10.0,销售,否,5.63,12.8
2021-03-17,102900011008515,面条菜,花叶类,0.231,10.0,销售,否,5.63,12.8
2022-02-26,102900011008515,面条菜,花叶类,0.122,14.0,销售,否,7.46,12.8
2022-03-16,102900011008515,面条菜,花叶类,0.171,10.0,销售,否,6.2,12.8
2022-03-17,102900011008515,面条菜,花叶类,0.141,10.0,销售,否,6.21,12.8
2022-03-17,102900011008515,面条菜,花叶类,0.141,10.0,销售,否,6.21,12.8
2022-03-21,102900011008515,面条菜,花叶类,0.159,12.0,销售,否,6.16,12.8
2022-03-23,102900011008515,面条菜,花叶类,0.209,12.0,销售,否,5.17,12.8
2022-03-24,102900011008515,面条菜,花叶类,0.201,12.0,销售,否,5.17,12.8
2022-03-25,102900011008515,面条菜,花叶类,0.209,12.0,销售,否,5.17,12.8
2022-03-25,102900011008515,面条菜,花叶类,0.201,12.0,销售,否,5.17,12.8
2022-03-26,102900011008515,面条菜,花叶类,0.167,12.0,销售,否,5.17,12.8
2022-03-26,102900011008515,面条菜,花叶类,0.226,12.0,销售,否,5.17,12.8
2022-03-26,102900011008515,面条菜,花叶类,0.201,12.0,销售,否,5.17,12.8
2022-04-03,102900011008515,面条菜,花叶类,0.184,12.0,销售,否,5.22,12.8
2023-02-06,102900011008515,面条菜,花叶类,0.308,7.0,销售,是,10.17,12.8
2023-02-06,102900011008515,面条菜,花叶类,0.279,7.0,销售,是,10.17,12.8
2023-02-07,102900011008515,面条菜,花叶类,0.351,7.0,销售,是,10.17,12.8
2023-02-07,102900011008515,面条菜,花叶类,0.258,7.0,销售,是,10.17,12.8
2023-02-07,102900011008515,面条菜,花叶类,0.315,7.0,销售,是,10.17,12.8
2023-02-07,102900011008515,面条菜,花叶类,0.279,7.0,销售,是,10.17,12.8
2023-02-11,102900011008515,面条菜,花叶类,0.226,16.0,销售,否,10.18,12.8
2023-02-19,102900011008515,面条菜,花叶类,0.169,16.0,销售,否,11.24,12.8
2023-02-20,102900011008515,面条菜,花叶类,0.182,16.0,销售,否,11.21,12.8
2023-02-26,102900011008515,面条菜,花叶类,0.144,16.0,销售,否,10.07,12.8
2023-03-02,102900011008515,面条菜,花叶类,0.207,16.0,销售,否,10.1,12.8
2023-03-07,102900011008515,面条菜,花叶类,0.201,8.0,销售,是,8.11,12.8
2023-03-15,102900011008515,面条菜,花叶类,0.171,10.0,销售,否,5.09,12.8
2023-03-15,102900011008515,面条菜,花叶类,0.221,6.0,销售,是,5.09,12.8
2023-03-15,102900011008515,面条菜,花叶类,0.221,6.0,销售,是,5.09,12.8
2023-03-15,102900011008515,面条菜,花叶类,0.181,6.0,销售,是,5.09,12.8
2023-03-15,102900011008515,面条菜,花叶类,0.221,6.0,销售,是,5.09,12.8
2023-03-21,102900011008515,面条菜,花叶类,0.211,10.0,销售,否,5.12,12.8
2023-03-22,102900011008515,面条菜,花叶类,0.214,8.0,销售,否,5.06,12.8
2023-03-22,102900011008515,面条菜,花叶类,0.188,8.0,销售,否,5.06,12.8
2023-03-22,102900011008515,面条菜,花叶类,0.188,8.0,销售,否,5.06,12.8
2023-03-22,102900011008515,面条菜,花叶类,0.126,8.0,销售,否,5.06,12.8
2023-03-22,102900011008515,面条菜,花叶类,0.251,4.8,销售,是,5.06,12.8
2023-03-22,102900011008515,面条菜,花叶类,0.188,4.8,销售,是,5.06,12.8
2023-03-23,102900011008515,面条菜,花叶类,0.188,8.0,销售,否,5.05,12.8
2023-03-25,102900011008515,面条菜,花叶类,0.138,8.0,销售,否,5.08,12.8
2023-03-25,102900011008515,面条菜,花叶类,0.201,8.0,销售,否,5.08,12.8
2023-03-25,102900011008515,面条菜,花叶类,0.176,8.0,销售,否,5.08,12.8
2023-03-25,102900011008515,面条菜,花叶类,0.151,4.8,销售,是,5.08,12.8
2023-03-28,102900011008515,面条菜,花叶类,0.176,4.8,销售,是,5.06,12.8
2023-03-30,102900011008515,面条菜,花叶类,0.214,8.0,销售,是,5.05,12.8
2023-03-31,102900011008515,面条菜,花叶类,0.226,4.8,销售,是,5.04,12.8
2023-04-02,102900011008515,面条菜,花叶类,0.176,8.0,销售,否,5.05,12.8
2023-04-02,102900011008515,面条菜,花叶类,0.176,8.0,销售,否,5.05,12.8
2023-04-02,102900011008515,面条菜,花叶类,0.138,8.0,销售,否,5.05,12.8
2023-04-02,102900011008515,面条菜,花叶类,0.151,4.8,销售,是,5.05,12.8
2023-04-03,102900011008515,面条菜,花叶类,0.138,4.8,销售,是,5.09,12.8
2023-04-03,102900011008515,面条菜,花叶类,0.188,4.8,销售,是,5.09,12.8
