日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-03-15,102900011032732,高瓜(2),水生根茎类,0.264,21.6,销售,否,9.68,9.43
2022-03-15,102900011032732,高瓜(2),水生根茎类,0.264,21.6,销售,否,9.68,9.43
2022-03-17,102900011032732,高瓜(2),水生根茎类,0.232,21.6,销售,否,9.61,9.43
2022-03-17,102900011032732,高瓜(2),水生根茎类,0.218,21.6,销售,否,9.61,9.43
2022-03-17,102900011032732,高瓜(2),水生根茎类,0.241,21.6,销售,否,9.61,9.43
2022-03-18,102900011032732,高瓜(2),水生根茎类,0.292,21.6,销售,否,9.47,9.43
2022-03-18,102900011032732,高瓜(2),水生根茎类,0.264,15.1,销售,是,9.47,9.43
2022-03-18,102900011032732,高瓜(2),水生根茎类,0.236,15.1,销售,是,9.47,9.43
2022-03-18,102900011032732,高瓜(2),水生根茎类,0.25,10.8,销售,是,9.47,9.43
2022-03-18,102900011032732,高瓜(2),水生根茎类,0.19,10.8,销售,是,9.47,9.43
2022-03-18,102900011032732,高瓜(2),水生根茎类,0.227,10.8,销售,是,9.47,9.43
2022-03-18,102900011032732,高瓜(2),水生根茎类,0.259,10.8,销售,是,9.47,9.43
2022-03-18,102900011032732,高瓜(2),水生根茎类,0.255,10.8,销售,是,9.47,9.43
2022-03-20,102900011032732,高瓜(2),水生根茎类,0.363,16.0,销售,否,9.25,9.43
2022-03-20,102900011032732,高瓜(2),水生根茎类,0.244,16.0,销售,否,9.25,9.43
2022-03-20,102900011032732,高瓜(2),水生根茎类,0.238,16.0,销售,否,9.25,9.43
2022-03-20,102900011032732,高瓜(2),水生根茎类,0.232,16.0,销售,否,9.25,9.43
2022-03-20,102900011032732,高瓜(2),水生根茎类,0.232,16.0,销售,否,9.25,9.43
2022-03-20,102900011032732,高瓜(2),水生根茎类,0.232,16.0,销售,否,9.25,9.43
2022-03-20,102900011032732,高瓜(2),水生根茎类,0.326,16.0,销售,否,9.25,9.43
2022-03-20,102900011032732,高瓜(2),水生根茎类,0.301,16.0,销售,否,9.25,9.43
2022-03-20,102900011032732,高瓜(2),水生根茎类,0.188,16.0,销售,否,9.25,9.43
2022-03-20,102900011032732,高瓜(2),水生根茎类,0.332,16.0,销售,否,9.25,9.43
2022-03-20,102900011032732,高瓜(2),水生根茎类,0.244,16.0,销售,否,9.25,9.43
2022-03-23,102900011032732,高瓜(2),水生根茎类,0.194,16.0,销售,否,8.53,9.43
