日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-08-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.46,9.43
2022-08-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.46,9.43
2022-09-02,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.53,9.43
2022-09-03,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.53,9.43
2022-09-03,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.53,9.43
2022-09-03,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.53,9.43
2022-09-04,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.52,9.43
2022-09-04,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.52,9.43
2022-09-04,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.52,9.43
2022-09-04,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.52,9.43
2022-09-04,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.52,9.43
2022-09-04,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.52,9.43
2022-09-04,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.52,9.43
2022-09-04,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.52,9.43
2022-09-04,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.52,9.43
2022-09-04,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.52,9.43
2022-09-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-06,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.44,9.43
2022-09-06,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.44,9.43
2022-09-06,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.44,9.43
2022-09-06,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.44,9.43
2022-09-06,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.44,9.43
2022-09-06,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.44,9.43
2022-09-07,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.51,9.43
2022-09-08,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.58,9.43
2022-09-08,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.58,9.43
2022-09-08,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.58,9.43
2022-09-08,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.58,9.43
2022-09-08,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.58,9.43
2022-09-08,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.58,9.43
2022-09-08,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.58,9.43
2022-09-08,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.58,9.43
2022-09-09,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.6,9.43
2022-09-09,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.6,9.43
2022-09-09,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.6,9.43
2022-09-09,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.6,9.43
2022-09-09,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.6,9.43
2022-09-09,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.6,9.43
2022-09-09,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.6,9.43
2022-09-09,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.6,9.43
2022-09-10,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.64,9.43
2022-09-10,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.64,9.43
2022-09-10,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.64,9.43
2022-09-10,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.64,9.43
2022-09-10,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.64,9.43
2022-09-10,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.64,9.43
2022-09-10,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.64,9.43
2022-09-10,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.64,9.43
2022-09-11,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.66,9.43
2022-09-11,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.66,9.43
2022-09-12,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.71,9.43
2022-09-12,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.71,9.43
2022-09-12,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.71,9.43
2022-09-12,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.71,9.43
2022-09-12,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.71,9.43
2022-09-12,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.71,9.43
2022-09-12,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.71,9.43
2022-09-12,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.71,9.43
2022-09-13,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.67,9.43
2022-09-13,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.67,9.43
2022-09-13,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.67,9.43
2022-09-13,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.67,9.43
2022-09-13,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.67,9.43
2022-09-13,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.67,9.43
2022-09-13,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.67,9.43
2022-09-14,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.67,9.43
2022-09-14,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.67,9.43
2022-09-14,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.67,9.43
2022-09-14,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.67,9.43
2022-09-14,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.67,9.43
2022-09-16,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.54,9.43
2022-09-16,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.54,9.43
2022-09-17,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-09-17,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-09-17,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-09-17,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-09-17,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-09-17,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-09-17,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-09-17,102900011030905,鱼腥草(份),花叶类,1.0,2.5,销售,是,1.38,9.43
2022-09-17,102900011030905,鱼腥草(份),花叶类,1.0,2.5,销售,是,1.38,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.43,9.43
2022-09-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.37,9.43
2022-09-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.37,9.43
2022-09-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.37,9.43
2022-09-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.37,9.43
2022-09-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.37,9.43
2022-09-22,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.49,9.43
2022-09-22,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.49,9.43
2022-09-22,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.49,9.43
2022-09-22,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.49,9.43
2022-09-22,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.49,9.43
2022-09-24,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2022-09-24,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2022-09-24,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2022-09-24,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2022-09-24,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2022-09-24,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2022-09-24,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2022-09-24,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2022-09-24,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.5,9.43
2022-09-25,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-09-25,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-09-25,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-09-25,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-09-25,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-09-26,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-09-26,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-09-26,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-09-26,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-09-26,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-09-27,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.35,9.43
2022-09-27,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.35,9.43
2022-09-27,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.35,9.43
2022-09-27,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.35,9.43
2022-09-27,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.35,9.43
2022-09-28,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-09-28,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-09-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.35,9.43
2022-09-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.35,9.43
2022-09-29,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.35,9.43
2022-09-30,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.35,9.43
2022-09-30,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.35,9.43
2022-09-30,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.35,9.43
2022-09-30,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.35,9.43
2022-09-30,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.35,9.43
2022-10-01,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-10-01,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-10-01,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-10-01,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-10-01,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-10-01,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-10-01,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-10-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-10-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-10-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-10-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-10-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-10-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-10-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-10-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-10-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-10-05,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-10-18,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.26,9.43
2022-10-20,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-10-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-10-22,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.42,9.43
2022-10-22,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.42,9.43
2022-10-22,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.42,9.43
2022-10-22,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.42,9.43
2022-10-28,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.62,9.43
2022-10-28,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.62,9.43
2022-10-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2022-10-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2022-10-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2022-10-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2022-10-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2022-10-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2022-10-30,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2022-10-30,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2022-10-30,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2022-10-30,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2022-11-03,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.54,9.43
2022-11-03,102900011030905,鱼腥草(份),花叶类,1.0,2.5,销售,是,1.54,9.43
2022-11-03,102900011030905,鱼腥草(份),花叶类,1.0,2.5,销售,是,1.54,9.43
2022-11-03,102900011030905,鱼腥草(份),花叶类,1.0,2.5,销售,是,1.54,9.43
2022-11-06,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.62,9.43
2022-11-06,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.62,9.43
2022-11-07,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.39,9.43
2022-11-07,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.39,9.43
2022-11-07,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.39,9.43
2022-11-08,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.32,9.43
2022-11-08,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.32,9.43
2022-11-10,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.33,9.43
2022-11-10,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.33,9.43
2022-11-11,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.48,9.43
2022-11-11,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.48,9.43
2022-11-12,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-11-12,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-11-12,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-11-12,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-11-13,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-11-13,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-11-13,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-11-15,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.38,9.43
2022-11-16,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-11-16,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.4,9.43
2022-11-17,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-11-17,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-11-17,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-11-17,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.4,9.43
2022-11-18,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.48,9.43
2022-11-19,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.36,9.43
2022-11-19,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-11-20,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.18,9.43
2022-11-20,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.18,9.43
2022-11-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.32,9.43
2022-11-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.32,9.43
2022-11-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.32,9.43
2022-11-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.32,9.43
2022-11-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.32,9.43
2022-11-21,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.32,9.43
2022-11-21,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.32,9.43
2022-11-21,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.32,9.43
2022-11-23,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.42,9.43
2022-11-24,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.42,9.43
2022-11-26,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2022-11-26,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2022-12-10,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.36,9.43
2022-12-11,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,0.68,9.43
2022-12-11,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,0.68,9.43
2022-12-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,2.1,9.43
2022-12-21,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,2.1,9.43
2022-12-25,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2022-12-25,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2022-12-26,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.6,9.43
2022-12-28,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.7,9.43
2022-12-28,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.7,9.43
2022-12-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.69,9.43
2022-12-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.69,9.43
2022-12-29,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.69,9.43
2022-12-29,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.69,9.43
2022-12-30,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.69,9.43
2022-12-30,102900011030905,鱼腥草(份),花叶类,1.0,2.9,销售,是,1.69,9.43
2023-01-01,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.61,9.43
2023-01-01,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.61,9.43
2023-01-02,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2023-01-02,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2023-01-02,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2023-01-02,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2023-01-03,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2023-01-03,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2023-01-03,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2023-01-03,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2023-01-03,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2023-01-03,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.5,9.43
2023-01-06,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.59,9.43
2023-01-07,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2023-01-07,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2023-01-07,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.57,9.43
2023-01-08,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.48,9.43
2023-01-08,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.48,9.43
2023-01-09,102900011030905,鱼腥草(份),花叶类,1.0,4.9,销售,否,1.58,9.43
