日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-03-13,102900011032589,鱼腥草,花叶类,0.234,12.0,销售,否,4.02,9.43
2022-03-13,102900011032589,鱼腥草,花叶类,0.201,12.0,销售,否,4.02,9.43
2022-03-14,102900011032589,鱼腥草,花叶类,0.192,12.0,销售,否,4.04,9.43
2022-03-14,102900011032589,鱼腥草,花叶类,0.243,12.0,销售,否,4.04,9.43
2022-03-14,102900011032589,鱼腥草,花叶类,0.217,12.0,销售,否,4.04,9.43
2022-03-14,102900011032589,鱼腥草,花叶类,0.209,12.0,销售,否,4.04,9.43
2022-03-14,102900011032589,鱼腥草,花叶类,0.217,12.0,销售,否,4.04,9.43
2022-03-15,102900011032589,鱼腥草,花叶类,0.259,12.0,销售,否,4.09,9.43
2022-03-18,102900011032589,鱼腥草,花叶类,0.159,12.0,销售,否,5.54,9.43
2022-03-18,102900011032589,鱼腥草,花叶类,0.159,12.0,销售,否,5.54,9.43
2022-03-18,102900011032589,鱼腥草,花叶类,0.167,12.0,销售,否,5.54,9.43
2022-03-18,102900011032589,鱼腥草,花叶类,0.176,12.0,销售,否,5.54,9.43
2022-03-18,102900011032589,鱼腥草,花叶类,0.209,12.0,销售,否,5.54,9.43
2022-03-18,102900011032589,鱼腥草,花叶类,0.201,12.0,销售,否,5.54,9.43
2022-03-19,102900011032589,鱼腥草,花叶类,0.184,12.0,销售,否,4.3,9.43
2022-03-19,102900011032589,鱼腥草,花叶类,0.184,12.0,销售,否,4.3,9.43
2022-03-19,102900011032589,鱼腥草,花叶类,0.176,12.0,销售,否,4.3,9.43
2022-03-19,102900011032589,鱼腥草,花叶类,0.217,12.0,销售,否,4.3,9.43
2022-03-19,102900011032589,鱼腥草,花叶类,0.167,12.0,销售,否,4.3,9.43
2022-03-19,102900011032589,鱼腥草,花叶类,0.192,12.0,销售,否,4.3,9.43
2022-03-19,102900011032589,鱼腥草,花叶类,0.159,12.0,销售,否,4.3,9.43
2022-03-21,102900011032589,鱼腥草,花叶类,0.251,12.0,销售,否,4.09,9.43
2022-03-21,102900011032589,鱼腥草,花叶类,0.184,12.0,销售,否,4.09,9.43
2022-03-22,102900011032589,鱼腥草,花叶类,0.176,12.0,销售,否,4.09,9.43
2022-03-24,102900011032589,鱼腥草,花叶类,0.159,12.0,销售,否,5.53,9.43
2022-03-27,102900011032589,鱼腥草,花叶类,0.125,12.0,销售,否,5.54,9.43
2022-03-27,102900011032589,鱼腥草,花叶类,0.209,12.0,销售,否,5.54,9.43
2022-03-27,102900011032589,鱼腥草,花叶类,0.159,12.0,销售,否,5.54,9.43
2022-03-27,102900011032589,鱼腥草,花叶类,0.134,12.0,销售,否,5.54,9.43
2022-03-27,102900011032589,鱼腥草,花叶类,0.226,12.0,销售,否,5.54,9.43
2022-03-27,102900011032589,鱼腥草,花叶类,0.176,12.0,销售,否,5.54,9.43
2022-03-29,102900011032589,鱼腥草,花叶类,0.134,12.0,销售,否,5.54,9.43
2022-03-29,102900011032589,鱼腥草,花叶类,0.117,12.0,销售,否,5.54,9.43
2022-03-30,102900011032589,鱼腥草,花叶类,0.142,12.0,销售,否,5.55,9.43
2022-03-30,102900011032589,鱼腥草,花叶类,0.159,12.0,销售,否,5.55,9.43
2022-03-31,102900011032589,鱼腥草,花叶类,0.251,12.0,销售,否,5.54,9.43
2022-04-01,102900011032589,鱼腥草,花叶类,0.192,12.0,销售,否,5.09,9.43
2022-04-01,102900011032589,鱼腥草,花叶类,0.268,12.0,销售,否,5.09,9.43
2022-04-02,102900011032589,鱼腥草,花叶类,0.284,12.0,销售,否,5.37,9.43
2022-04-02,102900011032589,鱼腥草,花叶类,0.276,12.0,销售,否,5.37,9.43
2022-04-02,102900011032589,鱼腥草,花叶类,0.309,12.0,销售,否,5.37,9.43
2022-04-02,102900011032589,鱼腥草,花叶类,0.293,12.0,销售,否,5.37,9.43
2022-04-02,102900011032589,鱼腥草,花叶类,0.376,12.0,销售,否,5.37,9.43
2022-04-03,102900011032589,鱼腥草,花叶类,0.284,8.4,销售,是,5.54,9.43
2022-04-03,102900011032589,鱼腥草,花叶类,0.309,8.4,销售,是,5.54,9.43
2022-04-03,102900011032589,鱼腥草,花叶类,0.234,12.0,销售,否,5.54,9.43
2022-04-03,102900011032589,鱼腥草,花叶类,0.226,12.0,销售,否,5.54,9.43
2022-04-03,102900011032589,鱼腥草,花叶类,0.268,12.0,销售,否,5.54,9.43
2022-04-03,102900011032589,鱼腥草,花叶类,0.259,12.0,销售,否,5.54,9.43
2022-04-03,102900011032589,鱼腥草,花叶类,0.217,12.0,销售,否,5.54,9.43
2022-04-04,102900011032589,鱼腥草,花叶类,0.184,12.0,销售,否,5.34,9.43
2022-04-04,102900011032589,鱼腥草,花叶类,0.234,12.0,销售,否,5.34,9.43
2022-04-04,102900011032589,鱼腥草,花叶类,0.201,12.0,销售,否,5.34,9.43
2022-04-04,102900011032589,鱼腥草,花叶类,0.217,12.0,销售,否,5.34,9.43
2022-04-04,102900011032589,鱼腥草,花叶类,0.201,12.0,销售,否,5.34,9.43
2022-04-05,102900011032589,鱼腥草,花叶类,0.217,12.0,销售,否,5.08,9.43
2022-04-05,102900011032589,鱼腥草,花叶类,0.293,12.0,销售,否,5.08,9.43
2022-04-05,102900011032589,鱼腥草,花叶类,0.234,12.0,销售,否,5.08,9.43
2022-04-05,102900011032589,鱼腥草,花叶类,0.259,12.0,销售,否,5.08,9.43
2022-04-05,102900011032589,鱼腥草,花叶类,0.234,12.0,销售,否,5.08,9.43
2022-04-05,102900011032589,鱼腥草,花叶类,0.234,12.0,销售,否,5.08,9.43
2022-04-05,102900011032589,鱼腥草,花叶类,0.243,12.0,销售,否,5.08,9.43
2022-04-06,102900011032589,鱼腥草,花叶类,0.259,12.0,销售,否,5.08,9.43
2022-04-06,102900011032589,鱼腥草,花叶类,0.385,12.0,销售,否,5.08,9.43
2022-04-07,102900011032589,鱼腥草,花叶类,0.293,12.0,销售,否,5.54,9.43
2022-04-07,102900011032589,鱼腥草,花叶类,0.301,12.0,销售,否,5.54,9.43
2022-04-08,102900011032589,鱼腥草,花叶类,0.385,12.0,销售,否,4.65,9.43
2022-04-08,102900011032589,鱼腥草,花叶类,0.385,12.0,销售,否,4.65,9.43
2022-04-08,102900011032589,鱼腥草,花叶类,0.41,12.0,销售,否,4.65,9.43
2022-04-08,102900011032589,鱼腥草,花叶类,0.435,12.0,销售,否,4.65,9.43
2022-04-09,102900011032589,鱼腥草,花叶类,0.293,12.0,销售,否,5.14,9.43
2022-04-09,102900011032589,鱼腥草,花叶类,0.343,12.0,销售,否,5.14,9.43
2022-04-09,102900011032589,鱼腥草,花叶类,0.318,12.0,销售,否,5.14,9.43
2022-04-09,102900011032589,鱼腥草,花叶类,0.435,12.0,销售,否,5.14,9.43
2022-04-09,102900011032589,鱼腥草,花叶类,0.368,12.0,销售,否,5.14,9.43
2022-04-09,102900011032589,鱼腥草,花叶类,0.385,12.0,销售,否,5.14,9.43
2022-04-10,102900011032589,鱼腥草,花叶类,0.251,12.0,销售,否,5.06,9.43
2022-04-10,102900011032589,鱼腥草,花叶类,0.418,12.0,销售,否,5.06,9.43
2022-04-10,102900011032589,鱼腥草,花叶类,0.36,12.0,销售,否,5.06,9.43
2022-04-12,102900011032589,鱼腥草,花叶类,0.309,12.0,销售,否,5.05,9.43
2022-04-12,102900011032589,鱼腥草,花叶类,0.318,12.0,销售,否,5.05,9.43
2022-04-12,102900011032589,鱼腥草,花叶类,0.36,12.0,销售,否,5.05,9.43
2022-04-12,102900011032589,鱼腥草,花叶类,0.293,12.0,销售,否,5.05,9.43
2022-04-12,102900011032589,鱼腥草,花叶类,0.301,8.4,销售,是,5.05,9.43
2022-04-13,102900011032589,鱼腥草,花叶类,0.284,8.4,销售,是,5.06,9.43
2022-04-13,102900011032589,鱼腥草,花叶类,0.368,12.0,销售,否,5.06,9.43
2022-04-13,102900011032589,鱼腥草,花叶类,0.243,12.0,销售,否,5.06,9.43
2022-04-13,102900011032589,鱼腥草,花叶类,0.334,12.0,销售,否,5.06,9.43
2022-04-13,102900011032589,鱼腥草,花叶类,0.385,12.0,销售,否,5.06,9.43
2022-04-13,102900011032589,鱼腥草,花叶类,0.401,12.0,销售,否,5.06,9.43
2022-04-13,102900011032589,鱼腥草,花叶类,0.351,12.0,销售,否,5.06,9.43
2022-04-13,102900011032589,鱼腥草,花叶类,0.318,12.0,销售,否,5.06,9.43
2022-04-16,102900011032589,鱼腥草,花叶类,0.326,12.0,销售,否,5.14,9.43
2022-04-16,102900011032589,鱼腥草,花叶类,0.326,12.0,销售,否,5.14,9.43
2022-04-17,102900011032589,鱼腥草,花叶类,0.401,12.0,销售,否,5.14,9.43
2022-04-17,102900011032589,鱼腥草,花叶类,0.36,8.4,销售,是,5.14,9.43
2022-04-18,102900011032589,鱼腥草,花叶类,0.36,8.4,销售,是,5.14,9.43
2022-04-19,102900011032589,鱼腥草,花叶类,0.293,12.0,销售,否,5.12,9.43
2022-04-20,102900011032589,鱼腥草,花叶类,0.284,12.0,销售,否,5.04,9.43
2022-04-21,102900011032589,鱼腥草,花叶类,0.552,8.4,销售,是,5.05,9.43
2022-04-21,102900011032589,鱼腥草,花叶类,0.401,8.4,销售,是,5.05,9.43
2022-04-21,102900011032589,鱼腥草,花叶类,0.334,12.0,销售,否,5.05,9.43
2022-04-21,102900011032589,鱼腥草,花叶类,0.351,12.0,销售,否,5.05,9.43
2022-04-27,102900011032589,鱼腥草,花叶类,0.293,12.0,销售,否,4.1,9.43
2022-04-27,102900011032589,鱼腥草,花叶类,0.401,12.0,销售,否,4.1,9.43
2022-04-27,102900011032589,鱼腥草,花叶类,0.36,12.0,销售,否,4.1,9.43
