日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-03-13,102900011032626,鲜木耳(2),食用菌,0.358,14.0,销售,否,7.35,9.43
2022-03-15,102900011032626,鲜木耳(2),食用菌,0.315,14.0,销售,否,7.35,9.43
2022-03-15,102900011032626,鲜木耳(2),食用菌,0.373,14.0,销售,否,7.35,9.43
2022-03-16,102900011032626,鲜木耳(2),食用菌,0.344,8.4,销售,是,7.38,9.43
2022-03-17,102900011032626,鲜木耳(2),食用菌,0.451,14.0,销售,否,7.37,9.43
2022-03-17,102900011032626,鲜木耳(2),食用菌,0.466,14.0,销售,否,7.37,9.43
2022-03-17,102900011032626,鲜木耳(2),食用菌,0.494,14.0,销售,否,7.37,9.43
2022-03-18,102900011032626,鲜木耳(2),食用菌,0.473,14.0,销售,否,7.4,9.43
2022-03-19,102900011032626,鲜木耳(2),食用菌,0.516,7.0,销售,是,1.09,9.43
2022-03-20,102900011032626,鲜木耳(2),食用菌,0.423,14.0,销售,否,7.46,9.43
2022-03-20,102900011032626,鲜木耳(2),食用菌,0.33,14.0,销售,否,7.46,9.43
2022-03-21,102900011032626,鲜木耳(2),食用菌,0.301,14.0,销售,否,7.44,9.43
2022-03-22,102900011032626,鲜木耳(2),食用菌,0.279,14.0,销售,否,7.4,9.43
2022-03-22,102900011032626,鲜木耳(2),食用菌,0.337,14.0,销售,否,7.4,9.43
2022-03-22,102900011032626,鲜木耳(2),食用菌,0.279,14.0,销售,否,7.4,9.43
2022-03-22,102900011032626,鲜木耳(2),食用菌,0.287,14.0,销售,否,7.4,9.43
2022-03-22,102900011032626,鲜木耳(2),食用菌,0.365,9.8,销售,是,7.4,9.43
2022-03-23,102900011032626,鲜木耳(2),食用菌,0.301,14.0,销售,否,7.45,9.43
2022-03-23,102900011032626,鲜木耳(2),食用菌,0.315,9.8,销售,是,7.45,9.43
2022-03-25,102900011032626,鲜木耳(2),食用菌,0.315,14.0,销售,否,7.33,9.43
2022-03-26,102900011032626,鲜木耳(2),食用菌,0.33,9.8,销售,是,7.34,9.43
2022-03-26,102900011032626,鲜木耳(2),食用菌,0.459,9.8,销售,是,7.34,9.43
2022-03-26,102900011032626,鲜木耳(2),食用菌,0.315,9.8,销售,是,7.34,9.43
2022-03-26,102900011032626,鲜木耳(2),食用菌,0.344,9.8,销售,是,7.34,9.43
2022-03-27,102900011032626,鲜木耳(2),食用菌,0.358,14.0,销售,否,7.43,9.43
2022-03-27,102900011032626,鲜木耳(2),食用菌,0.358,14.0,销售,否,7.43,9.43
2022-03-27,102900011032626,鲜木耳(2),食用菌,0.301,8.4,销售,是,7.43,9.43
2022-03-28,102900011032626,鲜木耳(2),食用菌,0.401,14.0,销售,否,7.45,9.43
2022-03-28,102900011032626,鲜木耳(2),食用菌,0.229,14.0,销售,否,7.45,9.43
2022-03-28,102900011032626,鲜木耳(2),食用菌,0.33,8.4,销售,是,7.45,9.43
2022-03-29,102900011032626,鲜木耳(2),食用菌,0.222,14.0,销售,否,7.41,9.43
2022-03-29,102900011032626,鲜木耳(2),食用菌,0.229,14.0,销售,否,7.41,9.43
2022-03-29,102900011032626,鲜木耳(2),食用菌,0.251,14.0,销售,否,7.41,9.43
2022-03-30,102900011032626,鲜木耳(2),食用菌,0.222,14.0,销售,否,7.39,9.43
2022-03-31,102900011032626,鲜木耳(2),食用菌,0.215,14.0,销售,否,7.39,9.43
2022-03-31,102900011032626,鲜木耳(2),食用菌,0.236,14.0,销售,否,7.39,9.43
2022-03-31,102900011032626,鲜木耳(2),食用菌,0.143,14.0,销售,否,7.39,9.43
2022-04-01,102900011032626,鲜木耳(2),食用菌,0.165,14.0,销售,否,7.46,9.43
2022-04-01,102900011032626,鲜木耳(2),食用菌,0.301,14.0,销售,否,7.46,9.43
2022-04-01,102900011032626,鲜木耳(2),食用菌,0.315,7.0,销售,是,7.46,9.43
2022-04-01,102900011032626,鲜木耳(2),食用菌,0.229,7.0,销售,是,7.46,9.43
2022-04-02,102900011032626,鲜木耳(2),食用菌,0.373,14.0,销售,否,7.4,9.43
2022-04-02,102900011032626,鲜木耳(2),食用菌,0.301,14.0,销售,否,7.4,9.43
2022-04-02,102900011032626,鲜木耳(2),食用菌,0.38,14.0,销售,否,7.4,9.43
2022-04-02,102900011032626,鲜木耳(2),食用菌,0.351,14.0,销售,否,7.4,9.43
2022-04-02,102900011032626,鲜木耳(2),食用菌,0.279,7.0,销售,是,7.4,9.43
2022-04-02,102900011032626,鲜木耳(2),食用菌,0.279,7.0,销售,是,7.4,9.43
2022-04-03,102900011032626,鲜木耳(2),食用菌,0.394,14.0,销售,否,7.36,9.43
2022-04-04,102900011032626,鲜木耳(2),食用菌,0.315,14.0,销售,否,7.43,9.43
2022-04-04,102900011032626,鲜木耳(2),食用菌,0.365,9.8,销售,是,7.43,9.43
2022-04-05,102900011032626,鲜木耳(2),食用菌,0.33,14.0,销售,否,7.57,9.43
2022-04-05,102900011032626,鲜木耳(2),食用菌,0.265,14.0,销售,否,7.57,9.43
2022-04-05,102900011032626,鲜木耳(2),食用菌,0.279,14.0,销售,否,7.57,9.43
2022-04-05,102900011032626,鲜木耳(2),食用菌,0.43,9.8,销售,是,7.57,9.43
2022-04-07,102900011032626,鲜木耳(2),食用菌,0.365,14.0,销售,否,7.44,9.43
2022-04-07,102900011032626,鲜木耳(2),食用菌,0.337,14.0,销售,否,7.44,9.43
2022-04-08,102900011032626,鲜木耳(2),食用菌,0.344,9.8,销售,是,7.41,9.43
2022-04-09,102900011032626,鲜木耳(2),食用菌,0.33,14.0,销售,否,7.33,9.43
2022-04-11,102900011032626,鲜木耳(2),食用菌,0.387,7.0,销售,是,7.34,9.43
2022-04-12,102900011032626,鲜木耳(2),食用菌,0.365,14.0,销售,否,7.41,9.43
2022-04-12,102900011032626,鲜木耳(2),食用菌,0.365,14.0,销售,否,7.41,9.43
2022-04-14,102900011032626,鲜木耳(2),食用菌,0.265,14.0,销售,否,7.47,9.43
2022-04-15,102900011032626,鲜木耳(2),食用菌,0.294,14.0,销售,否,7.5,9.43
2022-04-15,102900011032626,鲜木耳(2),食用菌,0.301,14.0,销售,否,7.5,9.43
2022-04-15,102900011032626,鲜木耳(2),食用菌,0.308,14.0,销售,否,7.5,9.43
2022-04-15,102900011032626,鲜木耳(2),食用菌,0.351,14.0,销售,否,7.5,9.43
2022-04-16,102900011032626,鲜木耳(2),食用菌,0.387,14.0,销售,否,7.44,9.43
2022-04-16,102900011032626,鲜木耳(2),食用菌,0.294,9.8,销售,是,7.44,9.43
2022-04-16,102900011032626,鲜木耳(2),食用菌,0.351,9.8,销售,是,7.44,9.43
2022-04-16,102900011032626,鲜木耳(2),食用菌,0.315,9.8,销售,是,7.44,9.43
2022-04-17,102900011032626,鲜木耳(2),食用菌,0.351,9.8,销售,是,7.44,9.43
2022-04-18,102900011032626,鲜木耳(2),食用菌,0.351,14.0,销售,否,7.37,9.43
2022-04-18,102900011032626,鲜木耳(2),食用菌,0.344,14.0,销售,否,7.37,9.43
2022-04-19,102900011032626,鲜木耳(2),食用菌,0.408,14.0,销售,否,7.34,9.43
2022-04-19,102900011032626,鲜木耳(2),食用菌,0.337,9.8,销售,是,7.34,9.43
2022-04-22,102900011032626,鲜木耳(2),食用菌,0.301,14.0,销售,否,7.34,9.43
2022-04-23,102900011032626,鲜木耳(2),食用菌,0.423,14.0,销售,否,7.35,9.43
2022-04-24,102900011032626,鲜木耳(2),食用菌,0.373,14.0,销售,否,7.4,9.43
2022-04-27,102900011032626,鲜木耳(2),食用菌,0.308,14.0,销售,否,7.31,9.43
2022-04-28,102900011032626,鲜木耳(2),食用菌,0.272,14.0,销售,否,7.33,9.43
2022-04-28,102900011032626,鲜木耳(2),食用菌,0.308,14.0,销售,否,7.33,9.43
2022-04-28,102900011032626,鲜木耳(2),食用菌,0.337,14.0,销售,否,7.33,9.43
2022-04-29,102900011032626,鲜木耳(2),食用菌,0.358,14.0,销售,否,7.34,9.43
2022-04-29,102900011032626,鲜木耳(2),食用菌,0.344,14.0,销售,否,7.34,9.43
