日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-05-09,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-09,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-09,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-09,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-09,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-09,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-09,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-10,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-10,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-10,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-11,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-11,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-11,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-12,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-13,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-13,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-13,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-14,102900011024010,鲜藕带(袋),水生根茎类,1.0,19.9,销售,否,15.0,12.69
2021-05-18,102900011024010,鲜藕带(袋),水生根茎类,3.0,10.0,销售,否,15.0,12.69
