日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900005116790,黄心菜(1),花叶类,0.589,8.0,销售,否,3.97,10.64
2020-07-01,102900005116790,黄心菜(1),花叶类,0.689,8.0,销售,否,3.97,10.64
2020-07-01,102900005116790,黄心菜(1),花叶类,0.589,8.0,销售,否,3.97,10.64
2020-07-01,102900005116790,黄心菜(1),花叶类,0.79,8.0,销售,否,3.97,10.64
2020-07-01,102900005116790,黄心菜(1),花叶类,0.739,8.0,销售,否,3.97,10.64
2020-07-01,102900005116790,黄心菜(1),花叶类,0.752,8.0,销售,否,3.97,10.64
2020-07-01,102900005116790,黄心菜(1),花叶类,0.689,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.551,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.639,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.664,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.739,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.702,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.564,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.489,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.664,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.589,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.714,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.752,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.576,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.714,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.363,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.677,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.664,8.0,销售,否,3.97,10.64
2020-07-02,102900005116790,黄心菜(1),花叶类,0.564,8.0,销售,否,3.97,10.64
2020-07-03,102900005116790,黄心菜(1),花叶类,1.391,8.0,销售,否,3.98,10.64
2020-07-03,102900005116790,黄心菜(1),花叶类,0.564,8.0,销售,否,3.98,10.64
2020-07-03,102900005116790,黄心菜(1),花叶类,0.464,8.0,销售,否,3.98,10.64
2020-07-03,102900005116790,黄心菜(1),花叶类,0.677,8.0,销售,否,3.98,10.64
2020-07-03,102900005116790,黄心菜(1),花叶类,0.689,8.0,销售,否,3.98,10.64
2020-07-03,102900005116790,黄心菜(1),花叶类,0.539,8.0,销售,否,3.98,10.64
2020-07-03,102900005116790,黄心菜(1),花叶类,0.702,8.0,销售,否,3.98,10.64
2020-07-03,102900005116790,黄心菜(1),花叶类,0.764,8.0,销售,否,3.98,10.64
2020-07-03,102900005116790,黄心菜(1),花叶类,0.489,8.0,销售,否,3.98,10.64
2020-07-03,102900005116790,黄心菜(1),花叶类,0.664,8.0,销售,否,3.98,10.64
2020-07-04,102900005116790,黄心菜(1),花叶类,0.702,8.0,销售,否,4.01,10.64
2020-07-04,102900005116790,黄心菜(1),花叶类,0.714,8.0,销售,否,4.01,10.64
2020-07-04,102900005116790,黄心菜(1),花叶类,0.576,8.0,销售,否,4.01,10.64
2020-07-04,102900005116790,黄心菜(1),花叶类,0.539,8.0,销售,否,4.01,10.64
2020-07-04,102900005116790,黄心菜(1),花叶类,0.539,8.0,销售,否,4.01,10.64
2020-07-04,102900005116790,黄心菜(1),花叶类,0.489,8.0,销售,否,4.01,10.64
2020-07-04,102900005116790,黄心菜(1),花叶类,0.564,8.0,销售,否,4.01,10.64
2020-07-04,102900005116790,黄心菜(1),花叶类,0.564,8.0,销售,否,4.01,10.64
2020-07-04,102900005116790,黄心菜(1),花叶类,0.564,8.0,销售,否,4.01,10.64
2020-07-08,102900005116790,黄心菜(1),花叶类,0.764,8.0,销售,否,4.39,10.64
2020-07-08,102900005116790,黄心菜(1),花叶类,0.689,8.0,销售,否,4.39,10.64
2020-07-08,102900005116790,黄心菜(1),花叶类,0.777,8.0,销售,否,4.39,10.64
2020-07-08,102900005116790,黄心菜(1),花叶类,0.777,8.0,销售,否,4.39,10.64
2020-07-08,102900005116790,黄心菜(1),花叶类,0.877,8.0,销售,否,4.39,10.64
2020-07-08,102900005116790,黄心菜(1),花叶类,0.802,8.0,销售,否,4.39,10.64
2020-07-08,102900005116790,黄心菜(1),花叶类,0.752,8.0,销售,否,4.39,10.64
2020-07-08,102900005116790,黄心菜(1),花叶类,0.664,8.0,销售,否,4.39,10.64
2020-07-09,102900005116790,黄心菜(1),花叶类,0.639,8.0,销售,否,4.46,10.64
2020-07-09,102900005116790,黄心菜(1),花叶类,0.664,8.0,销售,否,4.46,10.64
