单品编码,单品名称,分类名称,扫码销售时间,销量(千克),销售单价(元/千克),销售类型,是否打折销售,日期,批发价格(元/千克)
102900011035771,黄白菜(1),花叶类,18:20:06.037,0.359,7.0,销售,否,2022-10-14,3.5
102900011035771,黄白菜(1),花叶类,20:42:14.186,0.187,7.0,销售,否,2022-10-14,3.5
102900011035771,黄白菜(1),花叶类,09:55:25.446,0.489,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,10:28:00.701,0.46,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,10:28:07.807,0.503,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,10:30:47.432,0.575,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,10:33:08.488,0.23,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,10:36:44.976,0.23,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,10:36:45.187,0.345,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,10:44:01.781,0.273,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,10:56:25.733,0.316,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,10:56:27.858,0.273,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,12:16:13.467,-0.23,7.0,退货,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,16:32:37.889,0.259,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,16:32:39.186,0.23,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,16:32:42.248,0.374,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,17:55:18.905,0.503,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,18:45:34.795,0.431,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,19:20:08.383,0.489,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,19:25:36.220,0.273,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,20:09:26.983,0.388,7.0,销售,否,2022-10-15,3.5
102900011035771,黄白菜(1),花叶类,11:16:17.623,0.345,7.0,销售,否,2022-10-16,3.5
102900011035771,黄白菜(1),花叶类,20:23:34.641,0.244,7.0,销售,否,2022-10-16,3.5
102900011035771,黄白菜(1),花叶类,20:23:35.155,0.273,7.0,销售,否,2022-10-16,3.5
102900011035771,黄白菜(1),花叶类,16:08:21.017,0.374,7.0,销售,否,2022-10-17,2.89
102900011035771,黄白菜(1),花叶类,13:23:01.423,0.546,7.0,销售,否,2022-10-18,3.63
102900011035771,黄白菜(1),花叶类,19:49:40.784,0.374,7.0,销售,否,2022-10-18,3.63
102900011035771,黄白菜(1),花叶类,21:28:34.170,0.431,7.0,销售,否,2022-10-18,3.63
102900011035771,黄白菜(1),花叶类,09:26:03.295,0.216,7.0,销售,否,2022-10-21,3.28
102900011035771,黄白菜(1),花叶类,09:26:34.842,0.172,7.0,销售,否,2022-10-21,3.28
102900011035771,黄白菜(1),花叶类,09:26:53.451,0.287,7.0,销售,否,2022-10-21,3.28
102900011035771,黄白菜(1),花叶类,09:26:56.632,0.388,7.0,销售,否,2022-10-21,3.28
102900011035771,黄白菜(1),花叶类,09:26:56.828,0.273,7.0,销售,否,2022-10-21,3.28
102900011035771,黄白菜(1),花叶类,09:29:26.453,0.273,7.0,销售,否,2022-10-21,3.28
102900011035771,黄白菜(1),花叶类,09:29:26.835,0.388,7.0,销售,否,2022-10-21,3.28
102900011035771,黄白菜(1),花叶类,09:29:27.903,0.273,7.0,销售,否,2022-10-21,3.28
