日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-07-01,102900051010455,黄白菜(2),花叶类,0.969,9.0,销售,否,4.63,15.61
2020-07-01,102900051010455,黄白菜(2),花叶类,0.768,9.0,销售,否,4.63,15.61
2020-07-01,102900051010455,黄白菜(2),花叶类,0.846,9.0,销售,否,4.63,15.61
2020-07-01,102900051010455,黄白菜(2),花叶类,0.768,9.0,销售,否,4.63,15.61
2020-07-01,102900051010455,黄白菜(2),花叶类,0.29,9.0,销售,否,4.63,15.61
2020-07-01,102900051010455,黄白菜(2),花叶类,0.535,9.0,销售,否,4.63,15.61
2020-07-01,102900051010455,黄白菜(2),花叶类,0.368,9.0,销售,否,4.63,15.61
2020-07-01,102900051010455,黄白菜(2),花叶类,0.613,9.0,销售,否,4.63,15.61
2020-07-01,102900051010455,黄白菜(2),花叶类,0.813,9.0,销售,否,4.63,15.61
2020-07-01,102900051010455,黄白菜(2),花叶类,0.356,9.0,销售,否,4.63,15.61
2020-07-01,102900051010455,黄白菜(2),花叶类,0.223,9.0,销售,否,4.63,15.61
2020-07-02,102900051010455,黄白菜(2),花叶类,0.635,3.8,销售,是,4.76,15.61
2020-07-02,102900051010455,黄白菜(2),花叶类,0.345,9.0,销售,否,4.76,15.61
2020-07-02,102900051010455,黄白菜(2),花叶类,0.457,9.0,销售,否,4.76,15.61
2020-07-02,102900051010455,黄白菜(2),花叶类,0.501,9.0,销售,否,4.76,15.61
2020-07-02,102900051010455,黄白菜(2),花叶类,0.39,9.0,销售,否,4.76,15.61
2020-07-02,102900051010455,黄白菜(2),花叶类,0.256,9.0,销售,否,4.76,15.61
2020-07-02,102900051010455,黄白菜(2),花叶类,0.557,9.0,销售,否,4.76,15.61
2020-07-02,102900051010455,黄白菜(2),花叶类,0.501,9.0,销售,否,4.76,15.61
2020-07-02,102900051010455,黄白菜(2),花叶类,0.69,9.0,销售,否,4.76,15.61
2020-07-02,102900051010455,黄白菜(2),花叶类,0.479,9.0,销售,否,4.76,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.312,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.713,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.356,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.501,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.156,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.657,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.557,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.78,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.601,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.501,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.368,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.557,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.802,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.256,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.379,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.98,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.735,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.368,9.0,销售,否,4.74,15.61
2020-07-03,102900051010455,黄白菜(2),花叶类,0.412,9.0,销售,否,4.74,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.635,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.301,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.646,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.323,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.356,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.891,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.846,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.345,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.267,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.635,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.323,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.479,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.345,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.189,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.935,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,1.782,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.579,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.601,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.735,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.078,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.646,8.4,销售,是,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.368,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.345,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.991,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,1.047,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.323,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.535,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.39,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.256,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.635,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,0.535,9.0,销售,否,4.63,15.61
2020-07-04,102900051010455,黄白菜(2),花叶类,1.069,9.0,销售,否,4.63,15.61
2020-07-05,102900051010455,黄白菜(2),花叶类,0.379,9.0,销售,否,4.75,15.61
2020-07-05,102900051010455,黄白菜(2),花叶类,0.624,9.0,销售,否,4.75,15.61
