日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-08-20,102900005128748,黄花菜,花叶类,0.074,25.8,销售,否,5.0,16.89
2023-05-07,102900005128748,黄花菜,花叶类,0.256,85.6,销售,否,65.36,16.89
2023-05-07,102900005128748,黄花菜,花叶类,0.197,85.6,销售,否,65.36,16.89
2023-05-08,102900005128748,黄花菜,花叶类,0.224,85.6,销售,否,65.36,16.89
2023-05-08,102900005128748,黄花菜,花叶类,0.216,85.6,销售,否,65.36,16.89
2023-05-08,102900005128748,黄花菜,花叶类,0.064,85.6,销售,否,65.36,16.89
2023-05-08,102900005128748,黄花菜,花叶类,0.166,85.6,销售,否,65.36,16.89
2023-05-10,102900005128748,黄花菜,花叶类,0.111,79.6,销售,否,65.41,16.89
2023-05-11,102900005128748,黄花菜,花叶类,0.162,23.9,销售,是,65.36,16.89
2023-05-11,102900005128748,黄花菜,花叶类,0.146,23.9,销售,是,65.36,16.89
2023-05-13,102900005128748,黄花菜,花叶类,0.168,79.6,销售,否,65.36,16.89
