日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2021-06-10,102900005116806,黑油菜,花叶类,0.377,4.0,销售,否,1.01,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.328,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.328,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.328,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.934,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.354,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.657,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.606,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.278,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.227,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.53,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.227,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.606,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.556,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.354,4.0,销售,否,2.63,0.1
2022-11-03,102900005116806,黑油菜,花叶类,0.404,4.0,销售,否,2.63,0.1
2022-11-05,102900005116806,黑油菜,花叶类,0.455,4.0,销售,否,2.63,0.1
2022-11-05,102900005116806,黑油菜,花叶类,0.253,4.0,销售,否,2.63,0.1
2022-11-05,102900005116806,黑油菜,花叶类,1.237,4.0,销售,否,2.63,0.1
2022-11-08,102900005116806,黑油菜,花叶类,0.252,4.8,销售,否,3.3,0.1
2022-11-08,102900005116806,黑油菜,花叶类,0.462,4.8,销售,否,3.3,0.1
2022-11-08,102900005116806,黑油菜,花叶类,0.483,4.8,销售,否,3.3,0.1
2022-11-08,102900005116806,黑油菜,花叶类,0.252,4.8,销售,否,3.3,0.1
2022-11-08,102900005116806,黑油菜,花叶类,0.231,4.8,销售,否,3.3,0.1
2022-11-08,102900005116806,黑油菜,花叶类,0.273,4.8,销售,否,3.3,0.1
2022-11-08,102900005116806,黑油菜,花叶类,0.462,4.8,销售,否,3.3,0.1
2022-11-08,102900005116806,黑油菜,花叶类,0.252,4.8,销售,否,3.3,0.1
2022-11-08,102900005116806,黑油菜,花叶类,0.252,4.8,销售,否,3.3,0.1
2022-11-09,102900005116806,黑油菜,花叶类,0.504,4.8,销售,否,3.43,0.1
2022-11-09,102900005116806,黑油菜,花叶类,0.357,4.8,销售,否,3.43,0.1
2022-11-09,102900005116806,黑油菜,花叶类,0.336,4.8,销售,否,3.43,0.1
2022-11-10,102900005116806,黑油菜,花叶类,0.588,4.8,销售,否,3.44,0.1
