日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2020-09-22,102900011012871,黑皮鸡枞菌,食用菌,0.14,116.0,销售,是,65.41,11.03
2020-09-22,102900011012871,黑皮鸡枞菌,食用菌,0.188,116.0,销售,否,65.41,11.03
2020-09-22,102900011012871,黑皮鸡枞菌,食用菌,0.154,116.0,销售,否,65.41,11.03
2020-10-30,102900011012871,黑皮鸡枞菌,食用菌,0.126,116.0,销售,否,68.15,11.03
2020-10-30,102900011012871,黑皮鸡枞菌,食用菌,0.128,116.0,销售,否,68.15,11.03
2020-10-31,102900011012871,黑皮鸡枞菌,食用菌,0.128,116.0,销售,否,68.12,11.03
2020-10-31,102900011012871,黑皮鸡枞菌,食用菌,0.128,116.0,销售,否,68.12,11.03
2020-10-31,102900011012871,黑皮鸡枞菌,食用菌,0.128,116.0,销售,否,68.12,11.03
2020-10-31,102900011012871,黑皮鸡枞菌,食用菌,0.126,116.0,销售,否,68.12,11.03
2020-11-12,102900011012871,黑皮鸡枞菌,食用菌,0.162,116.0,销售,否,65.81,11.03
2020-11-12,102900011012871,黑皮鸡枞菌,食用菌,0.122,116.0,销售,否,65.81,11.03
2020-11-27,102900011012871,黑皮鸡枞菌,食用菌,0.166,99.8,销售,否,61.54,11.03
2020-11-27,102900011012871,黑皮鸡枞菌,食用菌,0.166,99.8,销售,否,61.54,11.03
2020-12-04,102900011012871,黑皮鸡枞菌,食用菌,0.188,99.8,销售,否,61.46,11.03
2020-12-04,102900011012871,黑皮鸡枞菌,食用菌,0.194,99.8,销售,否,61.46,11.03
2020-12-04,102900011012871,黑皮鸡枞菌,食用菌,0.192,99.8,销售,否,61.46,11.03
2020-12-05,102900011012871,黑皮鸡枞菌,食用菌,0.166,99.8,销售,否,61.47,11.03
2020-12-05,102900011012871,黑皮鸡枞菌,食用菌,0.126,99.8,销售,否,61.47,11.03
2020-12-05,102900011012871,黑皮鸡枞菌,食用菌,0.208,99.8,销售,否,61.47,11.03
2020-12-05,102900011012871,黑皮鸡枞菌,食用菌,0.158,99.8,销售,否,61.47,11.03
2020-12-05,102900011012871,黑皮鸡枞菌,食用菌,0.184,99.8,销售,否,61.47,11.03
2020-12-05,102900011012871,黑皮鸡枞菌,食用菌,0.132,99.8,销售,否,61.47,11.03
2020-12-05,102900011012871,黑皮鸡枞菌,食用菌,0.13,99.8,销售,否,61.47,11.03
2020-12-08,102900011012871,黑皮鸡枞菌,食用菌,0.196,99.8,销售,否,61.48,11.03
2020-12-09,102900011012871,黑皮鸡枞菌,食用菌,0.152,99.8,销售,否,61.5,11.03
2020-12-09,102900011012871,黑皮鸡枞菌,食用菌,0.162,99.8,销售,否,61.5,11.03
2020-12-09,102900011012871,黑皮鸡枞菌,食用菌,0.188,99.8,销售,否,61.5,11.03
2020-12-09,102900011012871,黑皮鸡枞菌,食用菌,0.19,99.8,销售,否,61.5,11.03
2020-12-12,102900011012871,黑皮鸡枞菌,食用菌,0.206,99.8,销售,否,61.84,11.03
2020-12-13,102900011012871,黑皮鸡枞菌,食用菌,0.164,99.8,销售,否,61.28,11.03
2020-12-15,102900011012871,黑皮鸡枞菌,食用菌,0.208,99.8,销售,否,61.3,11.03
2020-12-18,102900011012871,黑皮鸡枞菌,食用菌,0.174,99.8,销售,否,61.32,11.03
2020-12-20,102900011012871,黑皮鸡枞菌,食用菌,0.186,99.8,销售,否,61.29,11.03
2020-12-21,102900011012871,黑皮鸡枞菌,食用菌,0.243,99.8,销售,否,61.32,11.03
2020-12-25,102900011012871,黑皮鸡枞菌,食用菌,0.186,99.8,销售,否,61.29,11.03
