日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-10-15,102900011035764,龙牙菜,花叶类,0.594,8.8,销售,否,4.36,9.43
2022-10-15,102900011035764,龙牙菜,花叶类,0.799,8.8,销售,否,4.36,9.43
2022-10-15,102900011035764,龙牙菜,花叶类,0.788,8.8,销售,否,4.36,9.43
2022-10-15,102900011035764,龙牙菜,花叶类,0.902,8.8,销售,否,4.36,9.43
2022-10-15,102900011035764,龙牙菜,花叶类,0.696,8.8,销售,否,4.36,9.43
2022-10-15,102900011035764,龙牙菜,花叶类,0.993,8.8,销售,否,4.36,9.43
2022-10-15,102900011035764,龙牙菜,花叶类,0.822,8.8,销售,否,4.36,9.43
2022-10-15,102900011035764,龙牙菜,花叶类,1.05,8.8,销售,否,4.36,9.43
2022-10-15,102900011035764,龙牙菜,花叶类,0.913,8.8,销售,否,4.36,9.43
2022-10-15,102900011035764,龙牙菜,花叶类,0.833,8.8,销售,否,4.36,9.43
2022-10-15,102900011035764,龙牙菜,花叶类,0.822,8.8,销售,否,4.36,9.43
2022-10-16,102900011035764,龙牙菜,花叶类,0.605,8.8,销售,否,3.48,9.43
2022-10-16,102900011035764,龙牙菜,花叶类,0.388,8.8,销售,否,3.48,9.43
2022-10-20,102900011035764,龙牙菜,花叶类,0.559,8.8,销售,否,5.22,9.43
2022-10-20,102900011035764,龙牙菜,花叶类,0.674,8.8,销售,否,5.22,9.43
2022-10-20,102900011035764,龙牙菜,花叶类,0.719,8.8,销售,否,5.22,9.43
2022-10-21,102900011035764,龙牙菜,花叶类,0.605,8.8,销售,否,5.22,9.43
2022-10-21,102900011035764,龙牙菜,花叶类,0.628,8.8,销售,否,5.22,9.43
2022-10-21,102900011035764,龙牙菜,花叶类,0.525,8.8,销售,否,5.22,9.43
2022-10-21,102900011035764,龙牙菜,花叶类,0.559,8.8,销售,否,5.22,9.43
2022-10-21,102900011035764,龙牙菜,花叶类,0.628,8.8,销售,否,5.22,9.43
2022-10-21,102900011035764,龙牙菜,花叶类,0.468,8.8,销售,否,5.22,9.43
2022-10-21,102900011035764,龙牙菜,花叶类,0.765,8.8,销售,否,5.22,9.43
2022-10-21,102900011035764,龙牙菜,花叶类,0.719,8.8,销售,否,5.22,9.43
2022-10-21,102900011035764,龙牙菜,花叶类,0.628,8.8,销售,否,5.22,9.43
