日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_品类
2020-07-01,102900005116509,青茄子(1),茄类,0.829,4.0,销售,否,1.63,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.402,4.0,销售,否,1.63,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.402,4.0,销售,否,1.63,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.427,4.0,销售,否,1.63,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.585,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.719,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.652,6.0,销售,否,6.56,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.251,4.0,销售,否,1.63,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.729,4.0,销售,否,1.63,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.427,4.0,销售,否,1.63,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.477,4.0,销售,否,1.63,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.729,4.0,销售,否,1.63,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.729,4.0,销售,否,1.63,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.553,4.0,销售,否,1.63,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.401,6.0,销售,否,6.56,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.578,4.0,销售,否,1.63,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.836,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.351,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.753,6.0,销售,否,6.56,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.628,4.0,销售,否,1.63,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.836,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.385,6.0,销售,否,6.56,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.251,4.0,销售,否,1.63,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.368,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.351,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.385,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.418,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.569,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.301,6.0,销售,否,6.56,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.678,4.0,销售,否,1.63,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.368,6.0,销售,否,6.56,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.628,4.0,销售,否,1.63,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.368,6.0,销售,否,6.56,6.68
2020-07-01,102900005116509,青茄子(1),茄类,0.754,4.0,销售,否,1.63,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,1.02,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,1.254,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.251,6.0,销售,否,6.56,6.68
2020-07-01,102900005116257,紫茄子(2),茄类,0.435,6.0,销售,否,6.56,6.68
